ticker,lot_size,price_point
A,1,114.96
AAPL,1,308.82
ABBV,1,215.7
ABNB,1,132.35
ABT,1,87.41
ACGL,1,96.3
ACN,1,179.24
ADBE,1,244.76
ADI,1,397.07
ADM,1,77.52
ADP,1,225.31
ADSK,1,240.99
AEE,1,111.29
AEP,1,131.59
AES,1,14.68
AFL,1,117.86
AIG,1,77.05
AIZ,1,254.82
AJG,1,204.75
AKAM,1,147.23
ALB,1,171.58
ALGN,1,163.61
ALL,1,216.6
ALLE,1,130.43
AMAT,1,432.16
AMCR,1,38.38
AMD,1,467.51
AME,1,224.52
AMGN,1,339.3
AMP,1,452.31
AMT,1,183.85
AMZN,1,266.32
ANET,1,154.03
AON,1,324.78
AOS,1,57.28
APA,1,38.8
APD,1,289.47
APH,1,132.06
APO,1,128.51
APP,1,481.68
APTV,1,57.36
ARE,1,48.37
ARES,1,124.41
ATO,1,177.81
AVB,1,185.65
AVGO,1,414.14
AVY,1,159.66
AWK,1,125.2
AXON,1,386.0
AXP,1,311.78
AZO,1,3406.5
BA,1,219.02
BAC,1,51.8
BALL,1,56.51
BAX,1,19.18
BBY,1,61.63
BDX,1,147.63
BEN,1,31.02
BF-B,1,26.2
BG,1,120.71
BIIB,1,193.76
BKNG,1,161.06
BKR,1,66.06
BLDR,1,74.15
BLK,1,1073.0
BMY,1,59.46
BNY,1,139.15
BR,1,150.49
BRK-B,1,486.38
BRO,1,57.82
BSX,1,57.78
BX,1,118.51
BXP,1,60.29
C,1,125.09
CAG,1,13.56
CAH,1,200.68
CARR,1,63.14
CASY,1,825.02
CAT,1,879.89
CB,1,327.89
CBOE,1,357.35
CBRE,1,131.07
CCI,1,91.46
CCL,1,25.98
CDNS,1,373.59
CDW,1,110.82
CEG,1,294.07
CF,1,121.7
CFG,1,62.89
CHD,1,96.25
CHRW,1,174.23
CHTR,1,145.15
CI,1,286.24
CIEN,1,583.74
CINF,1,168.1
CL,1,90.61
CLX,1,95.11
CMCSA,1,25.205
CME,1,291.23
CMG,1,32.89
CMI,1,639.55
CMS,1,74.53
CNC,1,59.14
CNP,1,42.83
COF,1,187.79
COHR,1,377.57
COIN,1,184.99
COO,1,62.55
COP,1,120.46
COR,1,274.91
COST,1,1028.24
CPAY,1,347.9
CPB,1,20.58
CPRT,1,33.79
CPT,1,107.47
CRH,1,100.37
CRL,1,160.3
CRM,1,180.07
CRWD,1,663.46
CSCO,1,120.41
CSGP,1,33.95
CSX,1,45.52
CTAS,1,172.93
CTSH,1,52.75
CTVA,1,79.56
CVNA,1,68.28
CVS,1,93.26
CVX,1,191.43
D,1,67.67
DAL,1,76.14
DASH,1,160.25
DD,1,48.12
DDOG,1,222.32
DE,1,529.15
DECK,1,106.67
DELL,1,295.19
DG,1,105.65
DGX,1,195.21
DHI,1,143.73
DHR,1,172.0
DIS,1,103.0
DLR,1,192.03
DLTR,1,94.98
DOC,1,19.73
DOV,1,209.9
DOW,1,36.01
DPZ,1,316.52
DRI,1,203.51
DTE,1,145.3
DUK,1,125.67
DVA,1,198.52
DVN,1,47.22
DXCM,1,72.1
EA,1,200.97
EBAY,1,115.75
ECL,1,253.32
ED,1,108.54
EFX,1,164.04
EG,1,352.71
EIX,1,71.18
EL,1,88.32
ELV,1,394.69
EME,1,848.91
EMR,1,136.42
EOG,1,141.22
EPAM,1,102.69
EQIX,1,1079.79
EQR,1,66.2
EQT,1,57.92
ERIE,1,224.23
ES,1,70.0
ESS,1,276.7
ETN,1,391.35
ETR,1,112.4
EVRG,1,83.94
EW,1,85.78
EXC,1,46.23
EXE,1,97.94
EXPD,1,158.48
EXPE,1,214.65
EXR,1,143.3
F,1,14.93
FANG,1,200.71
FAST,1,43.94
FCX,1,61.99
FDS,1,232.0
FDX,1,394.2
FE,1,46.31
FFIV,1,393.63
FICO,1,1239.91
FIS,1,43.56
FISV,1,57.13
FITB,1,49.48
FIX,1,1828.25
FOX,1,57.24
FOXA,1,63.98
FRT,1,119.75
FSLR,1,257.85
FTNT,1,133.93
FTV,1,59.13
GD,1,342.89
GDDY,1,90.46
GE,1,302.84
GEHC,1,64.23
GEN,1,24.82
GEV,1,1038.74
GILD,1,134.36
GIS,1,33.69
GL,1,156.28
GLW,1,194.05
GM,1,78.79
GNRC,1,270.14
GOOG,1,379.38
GOOGL,1,382.97
GPC,1,97.87
GPN,1,73.26
GRMN,1,240.71
GS,1,996.73
GWW,1,1247.79
HAL,1,41.47
HAS,1,88.1
HBAN,1,15.92
HCA,1,394.07
HD,1,313.07
HIG,1,136.02
HII,1,320.63
HLT,1,321.08
HON,1,227.92
HOOD,1,73.64
HPE,1,37.58
HPQ,1,25.24
HRL,1,21.24
HSIC,1,74.21
HST,1,22.38
HSY,1,194.78
HUBB,1,475.01
HUM,1,307.95
HWM,1,256.55
IBKR,1,81.35
IBM,1,253.84
ICE,1,152.97
IDXX,1,559.37
IEX,1,208.78
IFF,1,75.28
INCY,1,97.16
INTC,1,119.84
INTU,1,319.94
INVH,1,29.29
IP,1,31.29
IQV,1,167.9
IR,1,70.91
IRM,1,126.46
ISRG,1,438.1
IT,1,160.01
ITW,1,252.2
IVZ,1,27.05
J,1,114.69
JBHT,1,258.77
JBL,1,364.35
JCI,1,138.36
JKHY,1,140.19
JNJ,1,234.34
JPM,1,306.38
KDP,1,29.12
KEY,1,21.56
KEYS,1,346.56
KHC,1,23.79
KIM,1,24.11
KKR,1,94.04
KLAC,1,1888.38
KMB,1,99.14
KMI,1,33.79
KO,1,81.48
KR,1,67.25
KVUE,1,17.53
L,1,108.87
LDOS,1,126.01
LEN,1,88.86
LH,1,259.93
LHX,1,311.98
LII,1,484.64
LIN,1,517.58
LITE,1,946.9
LLY,1,1065.0
LMT,1,533.24
LNT,1,73.95
LOW,1,215.03
LRCX,1,305.35
LULU,1,127.18
LUV,1,40.86
LVS,1,49.43
LYB,1,69.72
LYV,1,165.55
MA,1,498.54
MAA,1,131.14
MAR,1,369.15
MAS,1,67.26
MCD,1,282.27
MCHP,1,93.43
MCK,1,766.08
MCO,1,449.12
MDLZ,1,61.76
MDT,1,78.6
MET,1,84.06
META,1,610.26
MGM,1,38.4
MKC,1,47.8
MLM,1,536.48
MMM,1,152.44
MNST,1,86.79
MO,1,73.9
MOS,1,22.51
MPC,1,254.65
MPWR,1,1589.81
MRK,1,122.41
MRNA,1,46.88
MRSH,1,164.11
MS,1,201.03
MSCI,1,588.55
MSFT,1,418.57
MSI,1,404.08
MTB,1,213.18
MTD,1,1103.09
MU,1,751.0
NCLH,1,16.3
NDAQ,1,91.01
NDSN,1,289.9
NEE,1,88.55
NEM,1,107.64
NFLX,1,88.6
NI,1,47.85
NKE,1,44.67
NOC,1,555.58
NOW,1,102.13
NRG,1,137.65
NSC,1,314.53
NTAP,1,139.36
NTRS,1,167.77
NUE,1,232.0
NVDA,1,215.33
NVR,1,6036.99
NWS,1,29.68
NWSA,1,25.89
NXPI,1,316.47
O,1,62.02
ODFL,1,210.47
OKE,1,94.03
OMC,1,74.93
ON,1,116.2
ORCL,1,192.08
ORLY,1,91.74
OTIS,1,72.77
OXY,1,58.81
PANW,1,260.58
PAYX,1,97.0
PCAR,1,109.35
PCG,1,16.49
PEG,1,79.51
PEP,1,150.57
PFE,1,25.9
PFG,1,103.85
PG,1,144.44
PGR,1,199.51
PH,1,866.96
PHM,1,116.43
PKG,1,215.91
PLD,1,145.9
PLTR,1,136.88
PM,1,188.99
PNC,1,219.23
PNR,1,74.82
PNW,1,102.94
PODD,1,154.87
POOL,1,184.64
PPG,1,107.78
PPL,1,36.32
PRU,1,104.12
PSA,1,305.25
PSKY,1,10.46
PSX,1,177.69
PTC,1,148.23
PWR,1,723.44
PYPL,1,44.23
Q,1,156.93
QCOM,1,238.16
RCL,1,256.1
REG,1,78.84
REGN,1,638.88
RF,1,27.83
RJF,1,151.46
RL,1,377.78
RMD,1,208.05
ROK,1,452.29
ROL,1,53.46
ROP,1,326.94
ROST,1,234.81
RSG,1,208.93
RTX,1,177.01
RVTY,1,96.95
SATS,1,124.2
SBAC,1,205.57
SBUX,1,103.11
SCHW,1,90.15
SHW,1,309.08
SJM,1,103.36
SLB,1,57.28
SMCI,1,35.58
SNA,1,366.65
SNDK,1,1478.68
SNPS,1,524.74
SO,1,94.55
SOLV,1,76.83
SPG,1,204.41
SPGI,1,417.6
SRE,1,92.8
STE,1,216.57
STLD,1,240.03
STT,1,153.95
STX,1,812.73
STZ,1,149.5
SW,1,38.05
SWK,1,76.46
SWKS,1,82.42
