ticker,current_price,bid,ask,spread_pct
AAPL,248.8,248.7,248.97,0.0010852090032154752
MSFT,356.77,356.95,357.27,0.0008969364016032548
NVDA,167.52,167.0,169.26,0.013490926456542447
AMZN,199.34,199.35,199.55,0.0010033109260560702
GOOGL,274.34,274.24,274.73,0.0017861048334184193
META,525.72,525.67,526.42,0.0014266149280986076
BRK-B,468.49,467.47,469.4,0.004119618348310422
TSLA,361.83,361.76,366.0,0.011718210209214298
JPM,282.84,282.35,282.5,0.0005303351718285153
V,295.52,294.81,296.5,0.005718733080671352
LLY,878.24,876.5,876.5,0.0001
XOM,170.99,171.04,171.29,0.0014620738054857009
UNH,259.02,257.08,258.08,0.0038607057370087256
MA,484.24,482.01,484.24,0.004605154468858455
COST,983.86,980.77,990.0,0.009381416055129814
NFLX,93.43,93.43,93.54,0.0011773520282564425
WMT,122.89,122.77,128.31,0.04508096671820332
JNJ,240.45,239.28,240.37,0.0045331669785818405
PG,142.71,142.32,142.68,0.0025225982762246066
ORCL,139.66,138.74,138.8,0.0004296147787484052
HD,321.65,321.0,322.75,0.00544069640914037
BAC,46.97,46.94,46.97,0.0006387055567383678
ABBV,209.4,209.92,209.99,0.0003342884431710678
KO,75.71,75.43,75.83,0.0052833179236559434
CVX,211.15,211.15,211.22,0.00033151787828554664
AMD,201.99,198.5,212.28,0.06822119906926086
CRM,179.31,178.65,178.99,0.0018961574926105818
MRK,119.63,119.59,119.59,0.0001
ADBE,234.84,234.56,235.28,0.003065917220235049
PEP,153.04,146.43,159.75,0.08703606900156818
TMO,473.36,471.67,473.18,0.0031899611289504626
LIN,491.12,490.92,492.1,0.0024026714448607406
ACN,192.6,191.81,192.99,0.006126687435098686
AVGO,300.68,300.35,301.44,0.0036251164028201907
MCD,305.9,306.02,306.02,0.0001
CSCO,79.92,76.14,84.48,0.10435435435435439
DHR,181.52,181.0,182.21,0.006665932128691097
ABT,103.99,104.11,104.83,0.0069237426675641785
WFC,77.19,77.0,77.0,0.0001
DIS,92.42,92.4,92.5,0.0010820168794632582
QCOM,127.11,122.78,127.3,0.03555975139642826
TXN,190.33,180.64,199.88,0.10108758472127362
PM,163.54,162.45,163.38,0.005686682157270435
IBM,236.34,235.32,235.85,0.002242531945502247
INTC,43.13,43.05,43.23,0.004173429167632732
GE,282.81,281.4,282.5,0.003889537145079816
CAT,695.4,691.84,694.0,0.00310612597066432
GS,802.89,800.3,802.0,0.0021173510692623467
RTX,189.71,189.25,189.25,0.0001
NOW,99.41,98.9,99.0,0.0010059350165978705
MS,158.39,158.01,160.0,0.01256392449018252
BKNG,4062.14,4290.28,4398.18,0.026562353833201355
BLK,933.85,933.85,937.0,0.0033731327300958154
AMGN,348.77,348.54,349.23,0.0019783811681050485
SPGI,406.24,403.0,415.0,0.029539188656951557
ISRG,452.66,452.01,452.06,0.00011045818053287537
SCHW,92.36,92.38,92.99,0.006604590731918573
MDT,87.14,87.0,87.11,0.0012623364700481917
GILD,134.25,129.58,142.14,0.09355679702048397
BA,190.52,189.99,190.52,0.002781860172160409
SYK,327.44,325.0,329.05,0.012368678231126348
HON,223.12,222.99,223.42,0.0019272140552168268
TJX,155.12,154.8,154.99,0.0012248581743166435
ADP,201.25,201.33,201.34,0.0001
AMT,169.52,169.92,169.96,0.00023596035865986587
DE,566.64,566.74,566.74,0.0001
T,29.1,29.15,29.15,0.0001
LOW,230.31,226.12,230.45,0.018800746819504076
PGR,198.84,197.45,198.41,0.004828002414001247
C,107.38,106.83,107.3,0.004376978953250129
ETN,357.36,355.0,356.4,0.0039176180882023095
PLD,128.9,128.27,129.33,0.008223429014740127
LMT,615.84,614.5,619.0,0.00730709275136399
CB,319.09,318.81,319.45,0.0020057037199535757
UPS,94.8,94.75,94.98,0.0024261603375527845
MO,66.48,66.43,66.43,0.0001
NEE,91.4,91.13,91.39,0.002844638949671828
SBUX,86.81,82.61,90.48,0.09065775832277392
ELV,286.39,285.17,288.0,0.009881629945179595
MDLZ,58.27,58.22,58.34,0.0020593787540759316
CI,261.96,262.39,262.52,0.0004962589708352247
USB,50.85,50.66,50.66,0.0001
BMY,58.54,58.3,58.43,0.0022207037922788273
SO,95.55,94.81,96.45,0.01716378859236003
CME,293.78,293.66,294.35,0.0023486963033562454
DUK,129.99,129.55,131.35,0.013847219016847318
ICE,152.67,148.48,152.8,0.028296325407742334
CL,84.29,84.06,84.51,0.005338711590936088
MMM,143.04,142.38,143.15,0.005383109619686873
FIS,46.89,46.5,46.85,0.007464278097675441
APD,292.19,285.1,291.17,0.020774153804031602
ZTS,113.35,113.41,114.0,0.005205116894574357
CVS,70.08,70.37,70.37,0.0001
WM,225.06,220.02,230.0,0.044343730560739314
TMUS,210.82,199.86,223.96,0.11431552983587892
EQIX,963.0,962.01,964.54,0.0026272066458982064
PYPL,43.59,43.55,43.73,0.004129387474191322
COP,133.8,133.4,133.83,0.0032137518684604393
UNP,238.79,238.99,241.46,0.010343816742744667
